label,type,burnstatus,owning_age,StartDate,EndDate,pct_burn,area_ha
Byfield State Forest/2002/W/2,WF,OUT,QPWS,2002-01-09,2002-01-09,0,2.35270857
Mt Isa/2002/W/1,WF,OUT,QPWS,2002-01-15,2002-01-15,70,14506.69868
Pine Ridge Regional Park/2002/W/1,WF,OUT,QPWS,2002-02-02,2002-02-02,100,5.23382453
Hull River National Park/2002/W/1,WF,OUT,QPWS,2002-02-09,2002-02-09,0,649.8451347
Mooloolah River/2002/W/1,WF,OUT,QPWS,2002-02-21,2002-02-21,0,14.89316728
Pine Ridge Regional Park/2002/W/2,WF,OUT,QPWS,2002-03-01,2002-03-01,100,93.08633911
Paluma Range National Park/2002/W/3,WF,OUT,QPWS,2002-03-01,2002-03-01,0,122.9852858
Byfield State Forest/2002/W/1,WF,OUT,QPWS,2002-03-11,2002-03-11,0,0.75188049
Byfield/2002/W/1,WF,OUT,QPWS,2002-03-20,2002-03-20,0,67.46493529
Lindeman Islands National Park/2002/W/1,WF,OUT,QPWS,2002-03-29,2002-03-29,100,160.7359888
Newry Islands National Park/2002/W/1,WF,OUT,QPWS,2002-03-29,2002-03-29,0,21.52990106
Paluma/2002/W/1,WF,OUT,QPWS,2002-04-12,2002-04-12,0,27.86117416
Blackbraes National Park/2002/W/2,WF,OUT,QPWS,2002-04-15,2002-04-15,85,456.3097463
Forty Mile Scrub National Park/2002/W/1,WF,OUT,QPWS,2002-04-23,2002-04-23,0,946.5277712
Mount Barney National Park/2002/W/1,WF,OUT,QPWS,2002-04-26,2002-04-26,0,15.80011406
Flinders Group National Park (Cape York Peninsula Aboriginal Land)/2002/W/1,WF,OUT,QPWS,2002-05-01,2002-05-01,90,1269.963585
Paluma/2002/W/2,WF,OUT,QPWS,2002-05-07,2002-05-07,0,215.6672201
Chillagoe-Mungana Caves National Park/NP/W/2016/015,WF,OUT,QPWS,2002-05-11,2002-05-11,0,646.0513754
Wondai State Forest/2002/W/1,WF,OUT,QPWS,2002-05-22,2002-05-22,90,1221.931695
Deepwater National Park/2002/W/1,WF,OUT,QPWS,2002-06-26,2002-06-26,0,352.2347905
Paluma Range National Park/2002/W/1,WF,OUT,QPWS,2002-07-04,2002-07-04,0,131.4743822
D'Aguilar National Park/1989/W/1,WF,OUT,QPWS,2002-07-09,2002-07-09,0,200.2677528
D'Aguilar National Park/2000/W/5,WF,OUT,QPWS,2002-07-15,2002-07-15,0,1442.315772
D'Aguilar National Park/1993/W/2,WF,OUT,QPWS,2002-07-15,2002-07-15,0,0.38101623
Eurimbula National Park/2002/W/1,WF,OUT,QPWS,2002-07-16,2002-07-16,0,87.6952598
D'Aguilar National Park/1984/W/3,WF,OUT,QPWS,2002-07-19,2002-07-19,0,371.4071075
Bribie Island/2002/W/2,WF,OUT,QPWS,2002-07-22,2002-07-22,0,16.62682009
Lawn Hill (Widdallion) Regional Park/2002/W/1,WF,OUT,QPWS,2002-07-22,2002-07-22,0,280.4167146
Girringun National Park/2002/W/1,WF,OUT,QPWS,2002-07-25,2002-07-25,0,299.3605934
Lockyer National Park/2002/W/1,WF,OUT,QPWS,2002-08-01,2002-08-01,100,1.69864119
Bribie Island/2002/W/1,WF,OUT,QPWS,2002-08-04,2002-08-04,0,0.04140507
Great Sandy National Park/2002/W/5,WF,OUT,QPWS,2002-08-05,2002-08-15,50,1896.069304
Diaper State Forest/2002/W/1,WF,OUT,QPWS,2002-08-10,2002-08-10,0,971.3378844
Squirrel Creek State Forest/2002/W/1,WF,OUT,QPWS,2002-08-10,2002-08-10,0,1768.054195
Bowling Green Bay National Park/2002/W/1,WF,OUT,QPWS,2002-08-11,2002-08-11,95,75.28163432
Dalrymple National Park/2002/W/1,WF,OUT,QPWS,2002-08-12,2002-08-12,80,1063.702704
Mooloolah River National Park/2003/W/1,WF,OUT,QPWS,2002-08-13,2002-08-13,0,311.9070578
Bowling Green Bay National Park/2002/W/2,WF,OUT,QPWS,2002-08-13,2002-08-13,0,5.72830316
Poona National Park/2002/W/1,WF,OUT,QPWS,2002-08-14,2002-08-14,0,12.40944863
Bribie Island National Park/2002/W/2,WF,OUT,QPWS,2002-08-16,2002-08-16,0,0.08498618
Eurimbula National Park/2002/W/2,WF,OUT,QPWS,2002-08-17,2002-08-17,0,731.884956
Lawn Hill (Widdallion) Regional Park/2002/W/2,WF,OUT,QPWS,2002-08-18,2002-08-18,0,368.0064666
Bellthorpe National Park/2002/W/3,WF,OUT,QPWS,2002-08-19,2002-08-19,0,0.15977625
Carnarvon National Park/2002/W/1,WF,OUT,QPWS,2002-08-28,2002-08-28,70,7556.67263
Gallangowan State Forest/2002/W/1,WF,OUT,QPWS,2002-08-30,2002-08-30,0,451.3990772
Main Range National Park/2002/W/1,WF,OUT,QPWS,2002-09-01,2002-09-01,0,2477.001601
Mount Scoria Regional Park/2002/W/1,WF,OUT,QPWS,2002-09-03,2002-09-03,0,5.86559027
Bellthorpe National Park/2002/W/4,WF,OUT,QPWS,2002-09-06,2002-09-06,70,96.56424214
Main Range National Park/2003/W/1,WF,OUT,QPWS,2002-09-08,2002-09-08,0,3827.480278
Bribie Island National Park/2002/W/1,WF,OUT,QPWS,2002-09-12,2002-09-12,0,0.05447997
Mount Barney National Park/2003/W/2,WF,OUT,QPWS,2002-09-14,2002-09-14,0,6.48316782
South Stradbroke Island Regional Park/2002/W/1,WF,OUT,QPWS,2002-09-19,2002-09-19,0,80.40861278
Conondale National Park/2002/W/1,WF,OUT,QPWS,2002-09-19,2002-09-19,0,9.02570867
Conondale National Park/2002/W/2,WF,OUT,QPWS,2002-09-19,2002-09-19,0,9.05902196
Conondale National Park/2002/W/3,WF,OUT,QPWS,2002-09-20,2002-09-20,0,339.3516926
Wrattens National Park/2002/W/2,WF,OUT,QPWS,2002-09-23,2002-09-23,50,842.345823
Keppel Bay Islands National Park/2002/W/1,WF,OUT,QPWS,2002-09-23,2002-09-23,80,56.05952039
D'Aguilar National Park/2002/W/1,WF,OUT,QPWS,2002-09-25,2002-09-25,90,0.44885367
D'Aguilar National Park/2002/W/2,WF,OUT,QPWS,2002-09-25,2002-09-25,85,1.59362166
D'Aguilar National Park/2002/W/3,WF,OUT,QPWS,2002-09-25,2002-09-25,85,0.3733689
Bellthorpe/2003/W/1,WF,OUT,QPWS,2002-09-25,2002-09-25,0,28.05075741
Bania National Park/2002/W/1,WF,OUT,QPWS,2002-09-25,2002-09-25,75,12062.43265
Moorrinya National Park/2002/W/1,WF,OUT,QPWS,2002-09-25,2002-09-25,0,1.11517263
